Date,Open,High,Low,Close,Adj Close,Return,Volume
2014-12-01,2065.780029,2093.550049,1972.560059,2058.899902,2058.899902,-0.004188559,80743820000
2015-01-01,2058.899902,2072.360107,1988.119995,1994.98999,1994.98999,-0.031040806,77330040000
2015-02-01,1996.670044,2119.590088,1980.900024,2104.5,2104.5,0.054892511,68775560000
2015-03-01,2105.22998,2117.52002,2039.689941,2067.889893,2067.889893,-0.017396107,76675850000
2015-04-01,2067.629883,2125.919922,2048.379883,2085.51001,2085.51001,0.00852082,72060940000
2015-05-01,2087.379883,2134.719971,2067.929932,2107.389893,2107.389893,0.010491382,65187730000
2015-06-01,2108.639893,2129.870117,2056.320068,2063.110107,2063.110107,-0.021011672,73213980000
2015-07-01,2067,2132.820068,2044.02002,2103.840088,2103.840088,0.01974203,77920590000
2015-08-01,2104.48999,2112.659912,1867.01001,1972.180054,1972.180054,-0.062580818,84626790000
2015-09-01,1970.089966,2020.859985,1871.910034,1920.030029,1920.030029,-0.026442832,79989370000
2015-10-01,1919.650024,2094.320068,1893.699951,2079.360107,2079.360107,0.082983118,85844900000
2015-11-01,2080.76001,2116.47998,2019.390015,2080.409912,2080.409912,0.000504869,75943590000
2015-12-01,2082.929932,2104.27002,1993.26001,2043.939941,2043.939941,-0.017530185,83649260000
2016-01-01,2038.199951,2038.199951,1812.290039,1940.23999,1940.23999,-0.050735322,92409770000
2016-02-01,1936.939941,1962.959961,1810.099976,1932.22998,1932.22998,-0.00412836,93049560000
2016-03-01,1937.089966,2072.209961,1937.089966,2059.73999,2059.73999,0.065991115,92639420000
2016-04-01,2056.620117,2111.050049,2033.800049,2065.300049,2065.300049,0.002699398,81124990000
2016-05-01,2067.169922,2103.47998,2025.910034,2096.949951,2096.949951,0.015324602,78883600000
2016-06-01,2093.939941,2120.550049,1991.680054,2098.860107,2098.860107,0.000910921,86852700000
2016-07-01,2099.340088,2177.090088,2074.02002,2173.600098,2173.600098,0.035609801,69530250000
2016-08-01,2173.149902,2193.810059,2147.580078,2170.949951,2170.949951,-0.001219243,75610310000
2016-09-01,2171.330078,2187.870117,2119.120117,2168.27002,2168.27002,-0.001234451,77270240000
2016-10-01,2164.330078,2169.600098,2114.719971,2126.149902,2126.149902,-0.019425679,73196630000
2016-11-01,2128.679932,2214.100098,2083.790039,2198.810059,2198.810059,0.034174522,88299760000
2016-12-01,2200.169922,2277.530029,2187.439941,2238.830078,2238.830078,0.018200762,75251240000
2017-01-01,2251.570068,2300.98999,2245.129883,2278.870117,2278.870117,0.017884358,70483180000
2017-02-01,2285.590088,2371.540039,2271.649902,2363.639893,2363.639893,0.03719816,69162420000
2017-03-01,2380.129883,2400.97998,2322.25,2362.719971,2362.719971,-0.000389197,81547770000
2017-04-01,2362.340088,2398.159912,2328.949951,2384.199951,2384.199951,0.009091209,65265670000
2017-05-01,2388.5,2418.709961,2352.719971,2411.800049,2411.800049,0.011576251,79607170000
2017-06-01,2415.649902,2453.820068,2405.699951,2423.409912,2423.409912,0.004813775,81002490000
2017-07-01,2431.389893,2484.040039,2407.699951,2470.300049,2470.300049,0.019348826,63169400000
2017-08-01,2477.100098,2490.870117,2417.350098,2471.649902,2471.649902,0.000546433,70616030000
2017-09-01,2474.419922,2519.439941,2446.550049,2519.360107,2519.360107,0.019302979,66337980000
2017-10-01,2521.199951,2582.97998,2520.399902,2575.26001,2575.26001,0.022188135,70871570000
2017-11-01,2583.209961,2657.73999,2557.449951,2584.840088,2584.840088,0.003720043,95142800000
2017-12-01,2645.100098,2694.969971,2605.52002,2673.610107,2673.610107,0.034342557,65251190000
2018-01-01,2683.72998,2872.870117,2682.360107,2823.810059,2823.810059,0.056178704,76860120000
2018-02-01,2816.449951,2835.959961,2532.689941,2713.830078,2713.830078,-0.038947372,79579410000
2018-03-01,2715.219971,2801.899902,2585.889893,2640.870117,2640.870117,-0.026884499,76369800000
2018-04-01,2633.449951,2717.48999,2553.800049,2648.050049,2648.050049,0.002718775,69648590000
2018-05-01,2642.959961,2742.23999,2594.620117,2705.27002,2705.27002,0.021608342,75617280000
2018-06-01,2718.699951,2791.469971,2691.98999,2718.370117,2718.370117,0.004842436,77439710000
2018-07-01,2704.949951,2848.030029,2698.949951,2816.290039,2816.290039,0.036021556,64542170000
2018-08-01,2821.169922,2916.5,2796.340088,2901.52002,2901.52002,0.030263211,69238220000
2018-09-01,2896.959961,2940.909912,2864.120117,2913.97998,2913.97998,0.004294287,62492080000
2018-10-01,2926.290039,2939.860107,2603.540039,2711.73999,2711.73999,-0.069403356,91327930000
2018-11-01,2717.580078,2815.149902,2631.090088,2760.169922,2760.169922,0.017859357,80080110000
2018-12-01,2790.5,2800.179932,2346.580078,2506.850098,2506.850098,-0.091776895,83519570000
